Site,Longitude,Latitude,Total Data Traffic(DL+UL): MB, DL PDCP Throughput (Mbps),Area Code,Area LTE Traffic  %,Area  DL PDCP Throughput (Mbps),Category,Site Name,REGION,UNION,THANA,Area Name
SYSDR69,91.92668959,24.90821051,6787.0,13.8,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Bohorgram,SYLHET,KHADIM PARA,SYLHET SADAR,SYLHET METRO
SYSDR70,91.8955196,24.89644051,9455.1,12.5,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Mouchak Rd,SYLHET,WARD NO-20,SYLHET SADAR,SYLHET METRO
SYSDR71,91.91419404,24.97919495,3296.4,4.8,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Fatehpur_Sylhet_Reloc,SYLHET,KHADIMNAGAR,SYLHET SADAR,SYLHET METRO
SYSDR75,91.87919,24.89768,11955.4,11.7,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Kumarpara_Reloc,SYLHET,WARD NO-16,SYLHET SADAR,SYLHET METRO
SYSDR77,91.858,24.8903,12550.6,14.6,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Shubhechsa,SYLHET,WARD NO-12,SYLHET SADAR,SYLHET METRO
SYSDR78,91.8847,24.8914,12509.3,13.8,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Nabopuspoh_Jotorpur,SYLHET,WARD NO-15,SYLHET SADAR,SYLHET METRO
SYSDR79,91.8519,24.8992,7044.5,11.5,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,New Medical Road,SYLHET,WARD NO-11,SYLHET SADAR,SYLHET METRO
SYSDR80,91.8685,24.9163,10977.9,14.7,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Bodrul Monzil,SYLHET,WARD NO-07,SYLHET SADAR,SYLHET METRO
SYSDR81,91.8642,24.911,12564.5,12.3,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Jalalabad Residential Area,SYLHET,WARD NO-07,SYLHET SADAR,SYLHET METRO
SYSDR82,91.887,24.8951,6355.8,12.9,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Rasos_Raynagor,SYLHET,WARD NO-19,SYLHET SADAR,SYLHET METRO
SYSDR83,91.885,24.9032,7048.1,13.3,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Bashundhara Raybari,SYLHET,WARD BO-18,SYLHET SADAR,SYLHET METRO
SYSDR84,91.8447,24.9012,8899.8,15.8,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,BAGBARI 2,SYLHET,WARD NO-10,SYLHET SADAR,SYLHET METRO
SYSDR85,91.8821,24.9083,7617.7,15.4,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Hazaribag,SYLHET,WARD BO-18,SYLHET SADAR,SYLHET METRO
SYSDR86,91.8727,24.9077,11498.9,14.3,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Amberkhana,SYLHET,WARD NO-05,SYLHET SADAR,SYLHET METRO
SYSDR87,91.8711,24.9119,6950.9,12.8,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Lichu Bagan,SYLHET,WARD NO-04,SYLHET SADAR,SYLHET METRO
SYSDR88,91.8607,24.9147,4668.1,11.3,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Nurani_Subid Bazar,SYLHET,WARD NO-07,SYLHET SADAR,SYLHET METRO
SYSDR89,91.9003,24.8918,10859.4,14.8,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Shaplabag,SYLHET,WARD NO-24,SYLHET SADAR,SYLHET METRO
SYSDR90,91.8953,24.8921,8651.3,14.3,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Lamapara hatim bug Rd,SYLHET,WARD NO-24,SYLHET SADAR,SYLHET METRO
SYSDR91,91.8495,24.9038,5401.8,14.6,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,"PROMUKTO Akota, Bagbari",SYLHET,WARD NO-09,SYLHET SADAR,SYLHET METRO
SYSDR92,91.8751,24.8867,11294.1,13.4,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Amzad Ali Road,SYLHET,WARD NO-14,SYLHET SADAR,SYLHET METRO
SYSDR93,91.881166,24.897833,4814.6,15.5,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,JHOARJORIPARA,SYLHET,WARD BO-18,SYLHET SADAR,SYLHET METRO
