long,lat,y
91.82551053,22.33681829,14793.6
91.82630559,22.34772254,10106.7
91.84012565,22.361894600000007,12716.8
91.84536715,22.3361966,7623.3
91.834527,22.3433,14484.7
91.824428,22.32994906,15677.5
91.84509453,22.33156066,13655.0
91.83703965,22.33700437,12022.9
91.82977737,22.32822275,7765.5
91.82442945,22.35531398,15211.7
91.83114664,22.35445015,4836.0
91.83142422,22.3397553,13877.3
91.84045585,22.33011845,9803.7
91.84042368,22.34225874,10534.0
91.83564642,22.35867385,6045.2
91.825567,22.34817705,811.6
91.8429718,22.35947275,15397.5
91.83219403,22.33563942,5720.4
91.83099959,22.33561165,6322.4
91.84069403,22.33811164,13292.7
91.83161069,22.33469497,6737.7
91.83699958,22.3503061,9633.5
91.83166659,22.33738954,10926.1
91.82938848,22.33761164,14315.7
91.8284,22.3393,5592.6
91.83694402,22.33333386,8998.2
91.82758292,22.35097276,15173.2
91.83994403,22.33975054,12412.6
91.83605514,22.33458386,5436.8
91.83760792,22.33547275,3750.0
91.82672181,22.3578061,8208.3
91.82677778,22.35416667,8550.1
91.82205515,22.35550054,9942.4
91.83991625,22.34711164,12773.6
91.83777736,22.35833386,8943.5
91.8286107,22.33569497,11053.5
91.83552736,22.33883386,5499.1
91.83794359,22.34397253,13658.4
91.84516625,22.3379172,5916.9
91.83586059,22.34175053,15028.8
91.84572158,22.33769454,4572.7
91.8211607,22.3574172,1417.7
91.83983259,22.34980653,13502.9
91.82566626,22.35002831,7272.3
91.84283259,22.33547254,10580.4
91.84344358,22.32913953,5659.0
91.82223,22.35864,2738.6
91.83605556,22.33969444,1402.6
91.83799959,22.35611164,1364.1
91.838419,22.34803,1049.8
91.8311107,22.33569497,5377.2
91.83722181,22.35787554,3857.8
91.83912459,22.34046154,9852.7
91.83805515,22.34027832,1749.4
91.83811069,22.33958386,4317.6
91.82399,22.35337,9565.8
91.83746068,22.33061163,10873.3
91.83263848,22.33055609,15225.5
91.83236859,22.33446153,7464.8
91.83449958,22.33467253,2946.1
91.83022158,22.33638953,9474.9
91.83588859,22.33561153,2267.3
91.83324958,22.36002854,6385.1
91.82359358,22.35900754,679.9
91.83072758,22.33775653,4538.8
91.82213959,22.35769053,352.5
91.83053859,22.33495053,7701.7
91.83732158,22.35677253,1967.1
91.82519402,22.35869498,875.0
91.83971658,22.33918654,2007.9
91.83161069,22.33469497,8329.9
91.82955508,22.35877823,3668.8
91.83771959,22.33884053,5337.7
91.83639959,22.33970054,7118.4
91.83949959,22.34010054,2854.2
91.83114959,22.33572053,7524.3
91.83341,22.33915,9114.1
91.83102959,22.33751054,2136.1
91.83983,22.35899,16816.3
91.8434,22.341,12273.2
91.836715,22.328038,7080.7
91.83347,22.32809,12015.8
91.82832,22.343761,8084.2
91.83097,22.32992,9467.3
91.838039,22.35737,7160.0
91.83391,22.34584,12287.1
91.82949722,22.33866667,4961.8
91.836079,22.354773,14696.1
91.8391,22.3542,14702.1
91.8428,22.3309,7353.8
91.8336,22.3549,4242.8
91.8288,22.3475,8241.4
91.829385,22.34558,9141.5
91.13809,23.4748,20182.5
91.1942006,23.46284152,12474.9
91.1812996,23.46020052,18214.9
91.17986659,23.45314852,16635.1
91.17689059,23.47606852,9113.6
91.18825259,23.46331452,11912.7
91.16805759,23.45998151,22042.1
91.17516559,23.45906252,19027.2
91.16711859,23.46701452,23567.2
91.18114259,23.46931852,13214.3
91.1904496,23.45001152,6267.0
91.18597159,23.45597252,12561.2
91.17378259,23.47070452,5957.3
91.15632959,23.44858051,12371.9
91.18863959,23.47081452,2951.9
91.21305859,23.45142752,14728.9
91.16778059,23.45304351,23941.7
91.19872659,23.46470852,17148.3
91.19891659,23.45905652,15959.4
91.1396096,23.45581052,15062.3
91.1839436,23.44997252,23645.1
91.15811059,23.47505652,12683.4
91.1925826,23.45700052,20557.6
91.22472159,23.48178052,6052.3
91.1653996,23.49180052,4411.9
91.21840959,23.46298052,1306.3
91.13949959,23.47440052,3049.7
91.1519276,23.45745352,5355.1
91.17917,23.45814,14925.3
91.17009959,23.46613051,21504.9
91.1746796,23.46210052,18829.0
91.20246959,23.45034052,9193.7
91.18267,23.46167,2269.5
91.15366,23.46555,16909.7
91.1906,23.4628,8358.9
91.1856,23.4614,18512.6
91.1733,23.4763,5255.8
91.183,23.455,17358.4
91.1679,23.4722,18573.4
91.1861,23.4667,12208.7
91.1798,23.4729,16181.4
91.1758,23.45,18118.8
91.19,23.4578,8161.2
91.1729,23.4616,11078.3
91.1462,23.4475,1213.6
91.1354,23.4784,17190.2
91.81250534,22.32640686,7267.3
91.8006,22.32229,15940.0
91.81943048,22.32965086,10463.9
91.80968045,22.31961623,13995.4
91.80125812,22.33051142,10273.2
91.81973672,22.32439583,4888.0
91.81239605,22.33372772,1027.9
91.81912293,22.33505945,14758.4
91.81561959,22.32873053,9908.6
91.81429,22.33875,10246.4
91.79584422,22.32555742,6825.8
91.79942672,22.34714577,8841.4
91.80391958,22.33580053,11161.0
91.81537451,22.33283711,19591.2
91.81334174,22.32175675,7128.5
91.81214731,22.32984167,14599.5
91.82282,22.3333,12190.9
91.80534,22.32146,13331.1
91.80688847,22.33208386,10120.9
91.80706676,22.34048151,8383.2
91.80309958,22.34241053,16908.9
91.80522968,22.32814692,14313.9
91.8083607,22.33588942,18799.3
91.80808291,22.32894497,9338.6
91.81580514,22.32600053,5914.9
91.79074959,22.32641753,7510.7
91.81277736,22.3271672,2906.0
91.79694403,22.32963943,5369.8
91.81269403,22.336556100000006,19038.1
